Generation,Word,Frequency
bronn,fou,juzps,lver,cence,bronn,1
bronn,fou,juzps,lver,cence,cence,1
bronn,fou,juzps,lver,cence,fou,1
bronn,fou,juzps,lver,cence,juzps,1
bronn,fou,juzps,lver,cence,lver,1
tronn,gou,juzts,rver,cynce,cynce,1
tronn,gou,juzts,rver,cynce,gou,1
tronn,gou,juzts,rver,cynce,juzts,1
tronn,gou,juzts,rver,cynce,rver,1
tronn,gou,juzts,rver,cynce,tronn,1
trown,gor,jutts,rner,wynce,gor,1
trown,gor,jutts,rner,wynce,jutts,1
trown,gor,jutts,rner,wynce,rner,1
trown,gor,jutts,rner,wynce,trown,1
trown,gor,jutts,rner,wynce,wynce,1
tzown,gog,jttts,rker,wynci,gog,1
tzown,gog,jttts,rker,wynci,jttts,1
tzown,gog,jttts,rker,wynci,rker,1
tzown,gog,jttts,rker,wynci,tzown,1
tzown,gog,jttts,rker,wynci,wynci,1
tzowk,gou,ittts,rkgr,wynco,gou,1
tzowk,gou,ittts,rkgr,wynco,ittts,1
tzowk,gou,ittts,rkgr,wynco,rkgr,1
tzowk,gou,ittts,rkgr,wynco,tzowk,1
tzowk,gou,ittts,rkgr,wynco,wynco,1
tzokk,gnu,tttts,rker,cynco,cynco,1
tzokk,gnu,tttts,rker,cynco,gnu,1
tzokk,gnu,tttts,rker,cynco,rker,1
tzokk,gnu,tttts,rker,cynco,tttts,1
tzokk,gnu,tttts,rker,cynco,tzokk,1
tdokk,gnf,ttttj,sker,qynco,gnf,1
tdokk,gnf,ttttj,sker,qynco,qynco,1
tdokk,gnf,ttttj,sker,qynco,sker,1
tdokk,gnf,ttttj,sker,qynco,tdokk,1
tdokk,gnf,ttttj,sker,qynco,ttttj,1
tdolk,gtf,ftttj,skvr,qynao,ftttj,1
tdolk,gtf,ftttj,skvr,qynao,gtf,1
tdolk,gtf,ftttj,skvr,qynao,qynao,1
tdolk,gtf,ftttj,skvr,qynao,skvr,1
tdolk,gtf,ftttj,skvr,qynao,tdolk,1
tdozk,ghf,fottj,savr,qydao,fottj,1
tdozk,ghf,fottj,savr,qydao,ghf,1
tdozk,ghf,fottj,savr,qydao,qydao,1
tdozk,ghf,fottj,savr,qydao,savr,1
tdozk,ghf,fottj,savr,qydao,tdozk,1
tsozk,vhf,fottw,sqvr,qyzao,fottw,1
tsozk,vhf,fottw,sqvr,qyzao,qyzao,1
tsozk,vhf,fottw,sqvr,qyzao,sqvr,1
tsozk,vhf,fottw,sqvr,qyzao,tsozk,1
tsozk,vhf,fottw,sqvr,qyzao,vhf,1
tsozw,vhp,fotty,sqvr,qxzao,fotty,1
tsozw,vhp,fotty,sqvr,qxzao,qxzao,1
tsozw,vhp,fotty,sqvr,qxzao,sqvr,1
tsozw,vhp,fotty,sqvr,qxzao,tsozw,1
tsozw,vhp,fotty,sqvr,qxzao,vhp,1
psozw,shp,fxtty,rqvr,qxuao,fxtty,1
psozw,shp,fxtty,rqvr,qxuao,psozw,1
psozw,shp,fxtty,rqvr,qxuao,qxuao,1
psozw,shp,fxtty,rqvr,qxuao,rqvr,1
psozw,shp,fxtty,rqvr,qxuao,shp,1
psouw,skp,fktty,rqvl,qxuab,fktty,1
psouw,skp,fktty,rqvl,qxuab,psouw,1
psouw,skp,fktty,rqvl,qxuab,qxuab,1
psouw,skp,fktty,rqvl,qxuab,rqvl,1
psouw,skp,fktty,rqvl,qxuab,skp,1
rsouw,spp,fkttm,rqvn,qxuaj,fkttm,1
rsouw,spp,fkttm,rqvn,qxuaj,qxuaj,1
rsouw,spp,fkttm,rqvn,qxuaj,rqvn,1
rsouw,spp,fkttm,rqvn,qxuaj,rsouw,1
rsouw,spp,fkttm,rqvn,qxuaj,spp,1
ryouw,bpp,fottm,rqvg,qxuaj,bpp,1
ryouw,bpp,fottm,rqvg,qxuaj,fottm,1
ryouw,bpp,fottm,rqvg,qxuaj,qxuaj,1
ryouw,bpp,fottm,rqvg,qxuaj,rqvg,1
ryouw,bpp,fottm,rqvg,qxuaj,ryouw,1
rykuw,bhp,xottm,rsvg,qxurj,bhp,1
rykuw,bhp,xottm,rsvg,qxurj,qxurj,1
rykuw,bhp,xottm,rsvg,qxurj,rsvg,1
rykuw,bhp,xottm,rsvg,qxurj,rykuw,1
rykuw,bhp,xottm,rsvg,qxurj,xottm,1
